     0.000 D | <> Log initialized.
     0.291 D | Loading Application Language File for es ...
     3.349 D | Writing account list to "accounts.json"
     3.349 D | Building JSON data structure.
     3.349 D | Building account array.
     3.349 D | Writing account list to file.
     3.355 D | Saved account list to "accounts.json"
     3.722 D | Task "LaunchTask(0x24f4169d2f0)" starting for the first time
     3.723 D | Task "TextPrint(0x24f43a9bde0)" starting for the first time
     3.724 D | Task "TextPrint(0x24f43a9bde0)" succeeded
     3.724 D | Task "TextPrint(0x24f43a9a9f0)" starting for the first time
     3.724 D | Task "TextPrint(0x24f43a9a9f0)" succeeded
     3.724 D | Task "TextPrint(0x24f43a9b180)" starting for the first time
     3.724 D | Task "TextPrint(0x24f43a9b180)" succeeded
     3.724 D | Task "TextPrint(0x24f43a9bbd0)" starting for the first time
     3.724 D | Task "TextPrint(0x24f43a9bbd0)" succeeded
     3.724 D | Task "CheckJava(0x24f43ae07d0)" starting for the first time
     3.724 D | "Running java checker: C:/Program Files/Common Files/Oracle/Java/javapath/javaw.exe-jar C:/Users/david/Desktop/Prism/jars/JavaCheck.jar"
     3.849 D | STDOUT "os.arch=amd64\njava.version=17.0.7\njava.vendor=Oracle Corporation\n"
     3.849 W | STDERR ""
     3.849 D | Java checker finished with status  QProcess::NormalExit  exit code  0
     3.849 D | Java checker succeeded.
     3.858 C | "Error changing setting JavaVendor. Setting doesn't exist."
     3.860 D | Task "CheckJava(0x24f43ae07d0)" succeeded
     3.860 D | Task "CreateGameFolders(0x24f43975ee0)" starting for the first time
     3.860 D | Task "CreateGameFolders(0x24f43975ee0)" succeeded
     3.860 D | Task "ClaimAccount(0x24f43a9a310)" starting for the first time
     3.860 D | Writing account list to "accounts.json"
     3.861 D | Building JSON data structure.
     3.861 D | Building account array.
     3.861 D | Writing account list to file.
     3.862 D | Saved account list to "accounts.json"
     3.862 W | Profile "47671e15d3694526bcffcae3f8b5bd6d" is now in use.
     3.862 D | Task "ClaimAccount(0x24f43a9a310)" succeeded
     3.862 D | Task "Update(0x24f43a9bf40)" starting for the first time
     3.863 D | Task "MinecraftUpdate(0x24f4169cb10)" starting for the first time
     3.863 D | Task "ComponentUpdateTask(0x24f43974060)" starting for the first time
     3.863 D | Loading components
     3.864 D | Task "NetJob(Descargando archivos de actualización de index.json)" starting for the first time
     3.864 D | Remote loading is being run for metadata index
     3.869 D | Task "NetJob(Descargando archivos de actualización de org.lwjgl3/3.3.1.json)" starting for the first time
     3.869 D | Remote loading is being run for "LWJGL 3"
     3.872 D | Task "NetJob(Descargando archivos de actualización de net.minecraft/1.19.3.json)" starting for the first time
     3.873 D | Remote loading is being run for "Minecraft"
     3.874 D | Task "NetJob(Descargando archivos de actualización de net.fabricmc.intermediary/1.19.3.json)" starting for the first time
     3.874 D | Remote loading is being run for "Intermediary Mappings"
     3.875 D | Task "NetJob(Descargando archivos de actualización de net.fabricmc.fabric-loader/0.14.21.json)" starting for the first time
     3.875 D | Remote loading is being run for "Fabric Loader"
     3.875 D | Task "FoldersTask(0x24f439744e0)" starting for the first time
     3.875 D | Task "FoldersTask(0x24f439744e0)" succeeded
     3.898 D | Task "Net::Download(0x24f42051740)" starting for the first time
     3.899 D | Downloading  "https://meta.prismlauncher.org/v1/net.fabricmc.fabric-loader/0.14.21.json"
     3.900 D | Task "Net::Download(0x24f42051a40)" starting for the first time
     3.901 D | Downloading  "https://meta.prismlauncher.org/v1/net.fabricmc.intermediary/1.19.3.json"
     3.901 D | Task "Net::Download(0x24f42050fc0)" starting for the first time
     3.902 D | Downloading  "https://meta.prismlauncher.org/v1/net.minecraft/1.19.3.json"
     3.902 D | Task "Net::Download(0x24f43ae0a10)" starting for the first time
     3.903 D | Downloading  "https://meta.prismlauncher.org/v1/org.lwjgl3/3.3.1.json"
     3.903 D | Task "Net::Download(0x24f43ae0e90)" starting for the first time
     3.904 D | Downloading  "https://meta.prismlauncher.org/v1/index.json"
     3.992 D | Download succeeded: "https://meta.prismlauncher.org/v1/org.lwjgl3/3.3.1.json"
     3.992 D | Task "NetJob(Descargando archivos de actualización de org.lwjgl3/3.3.1.json)" succeeded
     3.992 D | Remote task 1 succeeded
     3.992 D | Component list save is scheduled for "1.19.3 Fabric"
     4.112 D | Download succeeded: "https://meta.prismlauncher.org/v1/net.fabricmc.fabric-loader/0.14.21.json"
     4.112 D | Task "NetJob(Descargando archivos de actualización de net.fabricmc.fabric-loader/0.14.21.json)" succeeded
     4.112 D | Remote task 4 succeeded
     4.114 D | Download succeeded: "https://meta.prismlauncher.org/v1/index.json"
     4.114 D | Task "NetJob(Descargando archivos de actualización de index.json)" succeeded
     4.114 D | Remote task 0 succeeded
     4.119 D | Download succeeded: "https://meta.prismlauncher.org/v1/net.fabricmc.intermediary/1.19.3.json"
     4.119 D | Task "NetJob(Descargando archivos de actualización de net.fabricmc.intermediary/1.19.3.json)" succeeded
     4.119 D | Remote task 3 succeeded
     4.206 D | Download succeeded: "https://meta.prismlauncher.org/v1/net.minecraft/1.19.3.json"
     4.206 D | Task "NetJob(Descargando archivos de actualización de net.minecraft/1.19.3.json)" succeeded
     4.206 D | Remote task 2 succeeded
     4.206 D | Resolving dependencies
     4.207 D | "Req: net.fabricmc.intermediary" Is met.
     4.207 D | "Req: net.minecraft == 1.19.3" Is met.
     4.207 D | "Req: org.lwjgl3" Is met.
     4.207 D | Task "ComponentUpdateTask(0x24f43974060)" succeeded
     4.207 D | Component list update/resolve task succeeded for "1.19.3 Fabric"
     4.207 D | Task "LibrariesTask(0x24f3f614930)" starting for the first time
     4.209 D | "1.19.3 Fabric" : downloading libraries
     4.210 D | Applying "org.lwjgl3" GOOD
     4.210 D | Applying "net.minecraft" GOOD
     4.210 D | Applying "net.fabricmc.intermediary" GOOD
     4.210 D | Applying "net.fabricmc.fabric-loader" GOOD
     4.210 D | Checksummed Download for: "org.lwjgl:lwjgl-glfw-natives-windows-arm64:3.3.1" storage: "org/lwjgl/lwjgl-glfw-natives-windows-arm64/3.3.1/lwjgl-glfw-natives-windows-arm64-3.3.1.jar" url: "https://libraries.minecraft.net/org/lwjgl/lwjgl-glfw/3.3.1/lwjgl-glfw-3.3.1-natives-windows-arm64.jar"
     4.210 D | Checksummed Download for: "org.lwjgl:lwjgl-glfw-natives-windows-x86:3.3.1" storage: "org/lwjgl/lwjgl-glfw-natives-windows-x86/3.3.1/lwjgl-glfw-natives-windows-x86-3.3.1.jar" url: "https://libraries.minecraft.net/org/lwjgl/lwjgl-glfw/3.3.1/lwjgl-glfw-3.3.1-natives-windows-x86.jar"
     4.210 D | Checksummed Download for: "org.lwjgl:lwjgl-glfw-natives-windows:3.3.1" storage: "org/lwjgl/lwjgl-glfw-natives-windows/3.3.1/lwjgl-glfw-natives-windows-3.3.1.jar" url: "https://libraries.minecraft.net/org/lwjgl/lwjgl-glfw/3.3.1/lwjgl-glfw-3.3.1-natives-windows.jar"
     4.211 D | Checksummed Download for: "org.lwjgl:lwjgl-glfw:3.3.1" storage: "org/lwjgl/lwjgl-glfw/3.3.1/lwjgl-glfw-3.3.1.jar" url: "https://libraries.minecraft.net/org/lwjgl/lwjgl-glfw/3.3.1/lwjgl-glfw-3.3.1.jar"
     4.211 D | Checksummed Download for: "org.lwjgl:lwjgl-jemalloc-natives-windows-arm64:3.3.1" storage: "org/lwjgl/lwjgl-jemalloc-natives-windows-arm64/3.3.1/lwjgl-jemalloc-natives-windows-arm64-3.3.1.jar" url: "https://libraries.minecraft.net/org/lwjgl/lwjgl-jemalloc/3.3.1/lwjgl-jemalloc-3.3.1-natives-windows-arm64.jar"
     4.211 D | Checksummed Download for: "org.lwjgl:lwjgl-jemalloc-natives-windows-x86:3.3.1" storage: "org/lwjgl/lwjgl-jemalloc-natives-windows-x86/3.3.1/lwjgl-jemalloc-natives-windows-x86-3.3.1.jar" url: "https://libraries.minecraft.net/org/lwjgl/lwjgl-jemalloc/3.3.1/lwjgl-jemalloc-3.3.1-natives-windows-x86.jar"
     4.211 D | Checksummed Download for: "org.lwjgl:lwjgl-jemalloc-natives-windows:3.3.1" storage: "org/lwjgl/lwjgl-jemalloc-natives-windows/3.3.1/lwjgl-jemalloc-natives-windows-3.3.1.jar" url: "https://libraries.minecraft.net/org/lwjgl/lwjgl-jemalloc/3.3.1/lwjgl-jemalloc-3.3.1-natives-windows.jar"
     4.211 D | Checksummed Download for: "org.lwjgl:lwjgl-jemalloc:3.3.1" storage: "org/lwjgl/lwjgl-jemalloc/3.3.1/lwjgl-jemalloc-3.3.1.jar" url: "https://libraries.minecraft.net/org/lwjgl/lwjgl-jemalloc/3.3.1/lwjgl-jemalloc-3.3.1.jar"
     4.211 D | Checksummed Download for: "org.lwjgl:lwjgl-natives-windows-arm64:3.3.1" storage: "org/lwjgl/lwjgl-natives-windows-arm64/3.3.1/lwjgl-natives-windows-arm64-3.3.1.jar" url: "https://libraries.minecraft.net/org/lwjgl/lwjgl/3.3.1/lwjgl-3.3.1-natives-windows-arm64.jar"
     4.211 D | Checksummed Download for: "org.lwjgl:lwjgl-natives-windows-x86:3.3.1" storage: "org/lwjgl/lwjgl-natives-windows-x86/3.3.1/lwjgl-natives-windows-x86-3.3.1.jar" url: "https://libraries.minecraft.net/org/lwjgl/lwjgl/3.3.1/lwjgl-3.3.1-natives-windows-x86.jar"
     4.211 D | Checksummed Download for: "org.lwjgl:lwjgl-natives-windows:3.3.1" storage: "org/lwjgl/lwjgl-natives-windows/3.3.1/lwjgl-natives-windows-3.3.1.jar" url: "https://libraries.minecraft.net/org/lwjgl/lwjgl/3.3.1/lwjgl-3.3.1-natives-windows.jar"
     4.211 D | Checksummed Download for: "org.lwjgl:lwjgl-openal-natives-windows-arm64:3.3.1" storage: "org/lwjgl/lwjgl-openal-natives-windows-arm64/3.3.1/lwjgl-openal-natives-windows-arm64-3.3.1.jar" url: "https://libraries.minecraft.net/org/lwjgl/lwjgl-openal/3.3.1/lwjgl-openal-3.3.1-natives-windows-arm64.jar"
     4.212 D | Checksummed Download for: "org.lwjgl:lwjgl-openal-natives-windows-x86:3.3.1" storage: "org/lwjgl/lwjgl-openal-natives-windows-x86/3.3.1/lwjgl-openal-natives-windows-x86-3.3.1.jar" url: "https://libraries.minecraft.net/org/lwjgl/lwjgl-openal/3.3.1/lwjgl-openal-3.3.1-natives-windows-x86.jar"
     4.212 D | Checksummed Download for: "org.lwjgl:lwjgl-openal-natives-windows:3.3.1" storage: "org/lwjgl/lwjgl-openal-natives-windows/3.3.1/lwjgl-openal-natives-windows-3.3.1.jar" url: "https://libraries.minecraft.net/org/lwjgl/lwjgl-openal/3.3.1/lwjgl-openal-3.3.1-natives-windows.jar"
     4.212 D | Checksummed Download for: "org.lwjgl:lwjgl-openal:3.3.1" storage: "org/lwjgl/lwjgl-openal/3.3.1/lwjgl-openal-3.3.1.jar" url: "https://libraries.minecraft.net/org/lwjgl/lwjgl-openal/3.3.1/lwjgl-openal-3.3.1.jar"
     4.212 D | Checksummed Download for: "org.lwjgl:lwjgl-opengl-natives-windows-arm64:3.3.1" storage: "org/lwjgl/lwjgl-opengl-natives-windows-arm64/3.3.1/lwjgl-opengl-natives-windows-arm64-3.3.1.jar" url: "https://libraries.minecraft.net/org/lwjgl/lwjgl-opengl/3.3.1/lwjgl-opengl-3.3.1-natives-windows-arm64.jar"
     4.212 D | Checksummed Download for: "org.lwjgl:lwjgl-opengl-natives-windows-x86:3.3.1" storage: "org/lwjgl/lwjgl-opengl-natives-windows-x86/3.3.1/lwjgl-opengl-natives-windows-x86-3.3.1.jar" url: "https://libraries.minecraft.net/org/lwjgl/lwjgl-opengl/3.3.1/lwjgl-opengl-3.3.1-natives-windows-x86.jar"
     4.212 D | Checksummed Download for: "org.lwjgl:lwjgl-opengl-natives-windows:3.3.1" storage: "org/lwjgl/lwjgl-opengl-natives-windows/3.3.1/lwjgl-opengl-natives-windows-3.3.1.jar" url: "https://libraries.minecraft.net/org/lwjgl/lwjgl-opengl/3.3.1/lwjgl-opengl-3.3.1-natives-windows.jar"
     4.212 D | Checksummed Download for: "org.lwjgl:lwjgl-opengl:3.3.1" storage: "org/lwjgl/lwjgl-opengl/3.3.1/lwjgl-opengl-3.3.1.jar" url: "https://libraries.minecraft.net/org/lwjgl/lwjgl-opengl/3.3.1/lwjgl-opengl-3.3.1.jar"
     4.212 D | Checksummed Download for: "org.lwjgl:lwjgl-stb-natives-windows-arm64:3.3.1" storage: "org/lwjgl/lwjgl-stb-natives-windows-arm64/3.3.1/lwjgl-stb-natives-windows-arm64-3.3.1.jar" url: "https://libraries.minecraft.net/org/lwjgl/lwjgl-stb/3.3.1/lwjgl-stb-3.3.1-natives-windows-arm64.jar"
     4.212 D | Checksummed Download for: "org.lwjgl:lwjgl-stb-natives-windows-x86:3.3.1" storage: "org/lwjgl/lwjgl-stb-natives-windows-x86/3.3.1/lwjgl-stb-natives-windows-x86-3.3.1.jar" url: "https://libraries.minecraft.net/org/lwjgl/lwjgl-stb/3.3.1/lwjgl-stb-3.3.1-natives-windows-x86.jar"
     4.212 D | Checksummed Download for: "org.lwjgl:lwjgl-stb-natives-windows:3.3.1" storage: "org/lwjgl/lwjgl-stb-natives-windows/3.3.1/lwjgl-stb-natives-windows-3.3.1.jar" url: "https://libraries.minecraft.net/org/lwjgl/lwjgl-stb/3.3.1/lwjgl-stb-3.3.1-natives-windows.jar"
     4.213 D | Checksummed Download for: "org.lwjgl:lwjgl-stb:3.3.1" storage: "org/lwjgl/lwjgl-stb/3.3.1/lwjgl-stb-3.3.1.jar" url: "https://libraries.minecraft.net/org/lwjgl/lwjgl-stb/3.3.1/lwjgl-stb-3.3.1.jar"
     4.213 D | Checksummed Download for: "org.lwjgl:lwjgl-tinyfd-natives-windows-arm64:3.3.1" storage: "org/lwjgl/lwjgl-tinyfd-natives-windows-arm64/3.3.1/lwjgl-tinyfd-natives-windows-arm64-3.3.1.jar" url: "https://libraries.minecraft.net/org/lwjgl/lwjgl-tinyfd/3.3.1/lwjgl-tinyfd-3.3.1-natives-windows-arm64.jar"
     4.213 D | Checksummed Download for: "org.lwjgl:lwjgl-tinyfd-natives-windows-x86:3.3.1" storage: "org/lwjgl/lwjgl-tinyfd-natives-windows-x86/3.3.1/lwjgl-tinyfd-natives-windows-x86-3.3.1.jar" url: "https://libraries.minecraft.net/org/lwjgl/lwjgl-tinyfd/3.3.1/lwjgl-tinyfd-3.3.1-natives-windows-x86.jar"
     4.213 D | Checksummed Download for: "org.lwjgl:lwjgl-tinyfd-natives-windows:3.3.1" storage: "org/lwjgl/lwjgl-tinyfd-natives-windows/3.3.1/lwjgl-tinyfd-natives-windows-3.3.1.jar" url: "https://libraries.minecraft.net/org/lwjgl/lwjgl-tinyfd/3.3.1/lwjgl-tinyfd-3.3.1-natives-windows.jar"
     4.213 D | Checksummed Download for: "org.lwjgl:lwjgl-tinyfd:3.3.1" storage: "org/lwjgl/lwjgl-tinyfd/3.3.1/lwjgl-tinyfd-3.3.1.jar" url: "https://libraries.minecraft.net/org/lwjgl/lwjgl-tinyfd/3.3.1/lwjgl-tinyfd-3.3.1.jar"
     4.213 D | Checksummed Download for: "org.lwjgl:lwjgl:3.3.1" storage: "org/lwjgl/lwjgl/3.3.1/lwjgl-3.3.1.jar" url: "https://libraries.minecraft.net/org/lwjgl/lwjgl/3.3.1/lwjgl-3.3.1.jar"
     4.213 D | Checksummed Download for: "com.github.oshi:oshi-core:6.2.2" storage: "com/github/oshi/oshi-core/6.2.2/oshi-core-6.2.2.jar" url: "https://libraries.minecraft.net/com/github/oshi/oshi-core/6.2.2/oshi-core-6.2.2.jar"
     4.213 D | Checksummed Download for: "com.google.code.gson:gson:2.10" storage: "com/google/code/gson/gson/2.10/gson-2.10.jar" url: "https://libraries.minecraft.net/com/google/code/gson/gson/2.10/gson-2.10.jar"
     4.213 D | Checksummed Download for: "com.google.guava:failureaccess:1.0.1" storage: "com/google/guava/failureaccess/1.0.1/failureaccess-1.0.1.jar" url: "https://libraries.minecraft.net/com/google/guava/failureaccess/1.0.1/failureaccess-1.0.1.jar"
     4.213 D | Checksummed Download for: "com.google.guava:guava:31.1-jre" storage: "com/google/guava/guava/31.1-jre/guava-31.1-jre.jar" url: "https://libraries.minecraft.net/com/google/guava/guava/31.1-jre/guava-31.1-jre.jar"
     4.214 D | Checksummed Download for: "com.ibm.icu:icu4j:71.1" storage: "com/ibm/icu/icu4j/71.1/icu4j-71.1.jar" url: "https://libraries.minecraft.net/com/ibm/icu/icu4j/71.1/icu4j-71.1.jar"
     4.214 D | Checksummed Download for: "com.mojang:authlib:3.16.29" storage: "com/mojang/authlib/3.16.29/authlib-3.16.29.jar" url: "https://libraries.minecraft.net/com/mojang/authlib/3.16.29/authlib-3.16.29.jar"
     4.214 D | Checksummed Download for: "com.mojang:blocklist:1.0.10" storage: "com/mojang/blocklist/1.0.10/blocklist-1.0.10.jar" url: "https://libraries.minecraft.net/com/mojang/blocklist/1.0.10/blocklist-1.0.10.jar"
     4.214 D | Checksummed Download for: "com.mojang:brigadier:1.0.18" storage: "com/mojang/brigadier/1.0.18/brigadier-1.0.18.jar" url: "https://libraries.minecraft.net/com/mojang/brigadier/1.0.18/brigadier-1.0.18.jar"
     4.214 D | Checksummed Download for: "com.mojang:datafixerupper:5.0.28" storage: "com/mojang/datafixerupper/5.0.28/datafixerupper-5.0.28.jar" url: "https://libraries.minecraft.net/com/mojang/datafixerupper/5.0.28/datafixerupper-5.0.28.jar"
     4.214 D | Checksummed Download for: "com.mojang:javabridge:2.0.25" storage: "com/mojang/javabridge/2.0.25/javabridge-2.0.25.jar" url: "https://libraries.minecraft.net/com/mojang/javabridge/2.0.25/javabridge-2.0.25.jar"
     4.214 D | Checksummed Download for: "com.mojang:logging:1.1.1" storage: "com/mojang/logging/1.1.1/logging-1.1.1.jar" url: "https://libraries.minecraft.net/com/mojang/logging/1.1.1/logging-1.1.1.jar"
     4.214 D | Checksummed Download for: "com.mojang:patchy:2.2.10" storage: "com/mojang/patchy/2.2.10/patchy-2.2.10.jar" url: "https://libraries.minecraft.net/com/mojang/patchy/2.2.10/patchy-2.2.10.jar"
     4.214 D | Checksummed Download for: "com.mojang:text2speech:1.16.7" storage: "com/mojang/text2speech/1.16.7/text2speech-1.16.7.jar" url: "https://libraries.minecraft.net/com/mojang/text2speech/1.16.7/text2speech-1.16.7.jar"
     4.215 D | Checksummed Download for: "commons-codec:commons-codec:1.15" storage: "commons-codec/commons-codec/1.15/commons-codec-1.15.jar" url: "https://libraries.minecraft.net/commons-codec/commons-codec/1.15/commons-codec-1.15.jar"
     4.215 D | Checksummed Download for: "commons-io:commons-io:2.11.0" storage: "commons-io/commons-io/2.11.0/commons-io-2.11.0.jar" url: "https://libraries.minecraft.net/commons-io/commons-io/2.11.0/commons-io-2.11.0.jar"
     4.215 D | Checksummed Download for: "commons-logging:commons-logging:1.2" storage: "commons-logging/commons-logging/1.2/commons-logging-1.2.jar" url: "https://libraries.minecraft.net/commons-logging/commons-logging/1.2/commons-logging-1.2.jar"
     4.215 D | Checksummed Download for: "io.netty:netty-buffer:4.1.82.Final" storage: "io/netty/netty-buffer/4.1.82.Final/netty-buffer-4.1.82.Final.jar" url: "https://libraries.minecraft.net/io/netty/netty-buffer/4.1.82.Final/netty-buffer-4.1.82.Final.jar"
     4.215 D | Checksummed Download for: "io.netty:netty-codec:4.1.82.Final" storage: "io/netty/netty-codec/4.1.82.Final/netty-codec-4.1.82.Final.jar" url: "https://libraries.minecraft.net/io/netty/netty-codec/4.1.82.Final/netty-codec-4.1.82.Final.jar"
     4.215 D | Checksummed Download for: "io.netty:netty-common:4.1.82.Final" storage: "io/netty/netty-common/4.1.82.Final/netty-common-4.1.82.Final.jar" url: "https://libraries.minecraft.net/io/netty/netty-common/4.1.82.Final/netty-common-4.1.82.Final.jar"
     4.215 D | Checksummed Download for: "io.netty:netty-handler:4.1.82.Final" storage: "io/netty/netty-handler/4.1.82.Final/netty-handler-4.1.82.Final.jar" url: "https://libraries.minecraft.net/io/netty/netty-handler/4.1.82.Final/netty-handler-4.1.82.Final.jar"
     4.215 D | Checksummed Download for: "io.netty:netty-resolver:4.1.82.Final" storage: "io/netty/netty-resolver/4.1.82.Final/netty-resolver-4.1.82.Final.jar" url: "https://libraries.minecraft.net/io/netty/netty-resolver/4.1.82.Final/netty-resolver-4.1.82.Final.jar"
     4.215 D | Checksummed Download for: "io.netty:netty-transport-classes-epoll:4.1.82.Final" storage: "io/netty/netty-transport-classes-epoll/4.1.82.Final/netty-transport-classes-epoll-4.1.82.Final.jar" url: "https://libraries.minecraft.net/io/netty/netty-transport-classes-epoll/4.1.82.Final/netty-transport-classes-epoll-4.1.82.Final.jar"
     4.216 D | Checksummed Download for: "io.netty:netty-transport-native-unix-common:4.1.82.Final" storage: "io/netty/netty-transport-native-unix-common/4.1.82.Final/netty-transport-native-unix-common-4.1.82.Final.jar" url: "https://libraries.minecraft.net/io/netty/netty-transport-native-unix-common/4.1.82.Final/netty-transport-native-unix-common-4.1.82.Final.jar"
     4.216 D | Checksummed Download for: "io.netty:netty-transport:4.1.82.Final" storage: "io/netty/netty-transport/4.1.82.Final/netty-transport-4.1.82.Final.jar" url: "https://libraries.minecraft.net/io/netty/netty-transport/4.1.82.Final/netty-transport-4.1.82.Final.jar"
     4.216 D | Checksummed Download for: "it.unimi.dsi:fastutil:8.5.9" storage: "it/unimi/dsi/fastutil/8.5.9/fastutil-8.5.9.jar" url: "https://libraries.minecraft.net/it/unimi/dsi/fastutil/8.5.9/fastutil-8.5.9.jar"
     4.216 D | Checksummed Download for: "net.java.dev.jna:jna-platform:5.12.1" storage: "net/java/dev/jna/jna-platform/5.12.1/jna-platform-5.12.1.jar" url: "https://libraries.minecraft.net/net/java/dev/jna/jna-platform/5.12.1/jna-platform-5.12.1.jar"
     4.216 D | Checksummed Download for: "net.java.dev.jna:jna:5.12.1" storage: "net/java/dev/jna/jna/5.12.1/jna-5.12.1.jar" url: "https://libraries.minecraft.net/net/java/dev/jna/jna/5.12.1/jna-5.12.1.jar"
     4.216 D | Checksummed Download for: "net.sf.jopt-simple:jopt-simple:5.0.4" storage: "net/sf/jopt-simple/jopt-simple/5.0.4/jopt-simple-5.0.4.jar" url: "https://libraries.minecraft.net/net/sf/jopt-simple/jopt-simple/5.0.4/jopt-simple-5.0.4.jar"
     4.216 D | Checksummed Download for: "org.apache.commons:commons-compress:1.21" storage: "org/apache/commons/commons-compress/1.21/commons-compress-1.21.jar" url: "https://libraries.minecraft.net/org/apache/commons/commons-compress/1.21/commons-compress-1.21.jar"
     4.216 D | Checksummed Download for: "org.apache.commons:commons-lang3:3.12.0" storage: "org/apache/commons/commons-lang3/3.12.0/commons-lang3-3.12.0.jar" url: "https://libraries.minecraft.net/org/apache/commons/commons-lang3/3.12.0/commons-lang3-3.12.0.jar"
     4.216 D | Checksummed Download for: "org.apache.httpcomponents:httpclient:4.5.13" storage: "org/apache/httpcomponents/httpclient/4.5.13/httpclient-4.5.13.jar" url: "https://libraries.minecraft.net/org/apache/httpcomponents/httpclient/4.5.13/httpclient-4.5.13.jar"
