     0.000 D | <> Log initialized.
     0.458 D | Loading Application Language File for es ...
     0.541 D | STDOUT "os.arch=amd64\njava.version=17.0.7\njava.vendor=Oracle Corporation\n"
     0.541 W | STDERR ""
     0.541 D | Java checker finished with status  QProcess::NormalExit  exit code  0
     0.541 D | Java checker succeeded.
     0.545 C | "Error changing setting JavaVendor. Setting doesn't exist."
     0.547 D | Task "CheckJava(0x16d005f2fa0)" succeeded
     0.547 D | Task "CreateGameFolders(0x16d0273f770)" starting for the first time
     0.547 D | Task "CreateGameFolders(0x16d0273f770)" succeeded
     0.547 D | Task "ClaimAccount(0x16d005cc210)" starting for the first time
     0.547 D | Writing account list to "accounts.json"
     0.547 D | Building JSON data structure.
     0.547 D | Building account array.
     0.548 D | Writing account list to file.
     0.549 D | Saved account list to "accounts.json"
     0.549 W | Profile "47671e15d3694526bcffcae3f8b5bd6d" is now in use.
     0.549 D | Task "ClaimAccount(0x16d005cc210)" succeeded
     0.549 D | Task "Update(0x16d005cb870)" starting for the first time
     0.552 D | Task "MinecraftUpdate(0x16d005fa5e0)" starting for the first time
     0.553 D | Task "ComponentUpdateTask(0x16d04aaf250)" starting for the first time
     0.553 D | Loading components
     0.553 W | Removing cache entry because of old age!
     0.553 D | Task "NetJob(Descargando archivos de actualización de index.json)" starting for the first time
     0.553 D | Remote loading is being run for metadata index
     0.558 W | Removing cache entry because of old age!
     0.558 D | Task "NetJob(Descargando archivos de actualización de org.lwjgl3/3.3.1.json)" starting for the first time
     0.558 D | Remote loading is being run for "LWJGL 3"
     0.561 W | Removing cache entry because of old age!
     0.562 D | Task "NetJob(Descargando archivos de actualización de net.minecraft/1.19.3.json)" starting for the first time
     0.562 D | Remote loading is being run for "Minecraft"
     0.562 W | Removing cache entry because of old age!
     0.562 D | Task "NetJob(Descargando archivos de actualización de net.fabricmc.intermediary/1.19.3.json)" starting for the first time
     0.562 D | Remote loading is being run for "Intermediary Mappings"
     0.563 W | Removing cache entry because of old age!
     0.563 D | Task "NetJob(Descargando archivos de actualización de net.fabricmc.fabric-loader/0.14.21.json)" starting for the first time
     0.563 D | Remote loading is being run for "Fabric Loader"
     0.563 D | Task "FoldersTask(0x16d04a2b270)" starting for the first time
     0.564 D | Task "FoldersTask(0x16d04a2b270)" succeeded
     0.598 D | Download succeeded: "https://i18n.prismlauncher.org/index_v2.json"
     0.599 D | Task "NetJob(Translations Index)" succeeded
     0.599 D | Got translations index!
     0.599 W | Removing cache entry because of old age!
     0.599 D | Task "NetJob(Translation for es)" starting for the first time
     0.599 D | Dir changed: "C:/Users/david/Documents/Gittest/Prism/Prism/translations"
     0.606 D | Loading Application Language File for es ...
     0.606 D | Dir changed: "C:/Users/david/Documents/Gittest/Prism/Prism/translations"
     0.608 D | Loading Application Language File for es ...
     0.621 D | Task "Net::Download(0x16d04ad5e80)" starting for the first time
     0.622 D | Downloading  "https://i18n.prismlauncher.org/ba7c7f8c4b67cfba512140c6d760dd8c10b5d998.class"
     0.623 D | Task "Net::Download(0x16d04ad6540)" starting for the first time
     0.623 D | Downloading  "https://meta.prismlauncher.org/v1/net.fabricmc.fabric-loader/0.14.21.json"
     0.624 D | Task "Net::Download(0x16d005bb830)" starting for the first time
     0.624 D | Downloading  "https://meta.prismlauncher.org/v1/net.fabricmc.intermediary/1.19.3.json"
     0.624 D | Task "Net::Download(0x16d005bbfb0)" starting for the first time
     0.625 D | Downloading  "https://meta.prismlauncher.org/v1/net.minecraft/1.19.3.json"
     0.625 D | Task "Net::Download(0x16d005f41a0)" starting for the first time
     0.626 D | Downloading  "https://meta.prismlauncher.org/v1/org.lwjgl3/3.3.1.json"
     0.626 D | Task "Net::Download(0x16d005f38a0)" starting for the first time
     0.627 D | Downloading  "https://meta.prismlauncher.org/v1/index.json"
     0.628 D | Dir changed: "C:/Users/david/Documents/Gittest/Prism/Prism/translations"
     0.630 D | Loading Application Language File for es ...
     0.684 D | Download succeeded: "https://i18n.prismlauncher.org/ba7c7f8c4b67cfba512140c6d760dd8c10b5d998.class"
     0.684 D | Task "NetJob(Translation for es)" succeeded
     0.684 D | Got translation: "es"
     0.690 D | Loading Application Language File for es ...
     0.691 D | Dir changed: "C:/Users/david/Documents/Gittest/Prism/Prism/translations"
     0.693 D | Loading Application Language File for es ...
     0.693 D | Dir changed: "C:/Users/david/Documents/Gittest/Prism/Prism/translations"
     0.694 D | Loading Application Language File for es ...
     0.708 D | Download succeeded: "https://meta.prismlauncher.org/v1/index.json"
     0.709 D | Task "NetJob(Descargando archivos de actualización de index.json)" succeeded
     0.709 D | Remote task 0 succeeded
     0.832 D | Download succeeded: "https://meta.prismlauncher.org/v1/net.fabricmc.intermediary/1.19.3.json"
     0.832 D | Task "NetJob(Descargando archivos de actualización de net.fabricmc.intermediary/1.19.3.json)" succeeded
     0.832 D | Remote task 3 succeeded
     0.832 D | Component list save is scheduled for "1.19.3 Fabric"
     0.837 D | Download succeeded: "https://meta.prismlauncher.org/v1/net.minecraft/1.19.3.json"
     0.837 D | Task "NetJob(Descargando archivos de actualización de net.minecraft/1.19.3.json)" succeeded
     0.837 D | Remote task 2 succeeded
     0.840 D | Download succeeded: "https://meta.prismlauncher.org/v1/net.fabricmc.fabric-loader/0.14.21.json"
     0.840 D | Task "NetJob(Descargando archivos de actualización de net.fabricmc.fabric-loader/0.14.21.json)" succeeded
     0.841 D | Remote task 4 succeeded
     0.855 D | Download succeeded: "https://meta.prismlauncher.org/v1/org.lwjgl3/3.3.1.json"
     0.855 D | Task "NetJob(Descargando archivos de actualización de org.lwjgl3/3.3.1.json)" succeeded
     0.855 D | Remote task 1 succeeded
     0.855 D | Resolving dependencies
     0.855 D | "Req: net.fabricmc.intermediary" Is met.
     0.855 D | "Req: net.minecraft == 1.19.3" Is met.
     0.855 D | "Req: org.lwjgl3" Is met.
     0.855 D | Task "ComponentUpdateTask(0x16d04aaf250)" succeeded
     0.855 D | Component list update/resolve task succeeded for "1.19.3 Fabric"
     0.855 D | Task "LibrariesTask(0x16d049f6e80)" starting for the first time
     0.858 D | "1.19.3 Fabric" : downloading libraries
     0.859 D | Applying "org.lwjgl3" GOOD
     0.859 D | Applying "net.minecraft" GOOD
     0.859 D | Applying "net.fabricmc.intermediary" GOOD
     0.859 D | Applying "net.fabricmc.fabric-loader" GOOD
     0.863 D | Task "NetJob(Librerias para la instancia 1.19.3 Fabric)" starting for the first time
     0.868 D | Task "NetJob(Librerias para la instancia 1.19.3 Fabric)" succeeded
     0.868 D | Task "LibrariesTask(0x16d049f6e80)" succeeded
     0.868 D | Task "FMLLibrariesTask(0x16d04ad6600)" starting for the first time
     0.868 D | Task "FMLLibrariesTask(0x16d04ad6600)" succeeded
     0.869 D | Task "AssetUpdateTask(0x16d049f7b00)" starting for the first time
     0.869 D | Asset index SHA1: "c7cdde3fad6be32a393b14e4e9e8b8877c4b7ef9"
     0.869 D | "1.19.3 Fabric" : Starting asset index download
     0.869 D | Task "NetJob(Índice de recursos para 1.19.3 Fabric)" starting for the first time
     0.870 D | Task "Net::Download(0x16d02ccd770)" starting for the first time
     0.871 D | Downloading  "https://piston-meta.mojang.com/v1/packages/c7cdde3fad6be32a393b14e4e9e8b8877c4b7ef9/2.json"
     1.049 D | Download succeeded: "https://piston-meta.mojang.com/v1/packages/c7cdde3fad6be32a393b14e4e9e8b8877c4b7ef9/2.json"
     1.051 D | Task "NetJob(Índice de recursos para 1.19.3 Fabric)" succeeded
     1.051 D | "1.19.3 Fabric" : Finished asset index download
     1.154 D | Task "AssetUpdateTask(0x16d049f7b00)" succeeded
     1.154 D | Task "MinecraftUpdate(0x16d005fa5e0)" succeeded
     1.154 D | Task "Update(0x16d005cb870)" succeeded
     1.171 D | Task "ModMinecraftJar(0x16d0273f530)" starting for the first time
     1.171 D | Task "ModMinecraftJar(0x16d0273f530)" succeeded
     1.171 D | Task "ScanModFolders(0x16d005b8bf0)" starting for the first time
     1.174 D | Task "ScanModFolders(0x16d005b8bf0)" succeeded
     1.174 D | Task "ScanModFolders(0x16d005b8bf0)" succeeded
     1.174 D | Task "ConcurrentTask(0x16d04a9a418)" starting for the first time
 for the first time
     1.198 D | Task "PrintInstanceInfo(0x16d005cb920)" succeeded
     1.198 D | Task "ExtractNatives(0x16d0273f650)" starting for the first time
     1.199 D | Task "ExtractNatives(0x16d0273f650)" succeeded
     1.199 D | Task "ReconstructAssets(0x16d0273f410)" starting for the first time
     1.199 D | reconstructAssets "assets" "assets/indexes" "assets/objects" "assets/virtual" "assets/virtual/2"
     1.218 D | Task "ReconstructAssets(0x16d0273f410)" succeeded
     1.219 D | Task "VerifyJavaInstall(0x16d0273fad0)" starting for the first time
     1.219 D | Task "VerifyJavaInstall(0x16d0273fad0)" succeeded
     1.219 D | Task "LauncherPartLaunch(0x16d00605920)" starting for the first time
     1.241 D | "-XX:HeapDumpPath=MojangTricksIntelDriversForPerformance_javaw.exe_minecraft.exe.heapdump -Xms512m -Xmx4096m -Duser.language=en -Djava.library.path=C:/Users/david/Documents/Gittest/Prism/Prism/instances/1.19.3 Fabric/natives -cp C:/Users/david/Documents/Gittest/Prism/Prism/jars/NewLaunch.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/org/lwjgl/lwjgl-glfw-natives-windows-arm64/3.3.1/lwjgl-glfw-natives-windows-arm64-3.3.1.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/org/lwjgl/lwjgl-glfw-natives-windows-x86/3.3.1/lwjgl-glfw-natives-windows-x86-3.3.1.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/org/lwjgl/lwjgl-glfw-natives-windows/3.3.1/lwjgl-glfw-natives-windows-3.3.1.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/org/lwjgl/lwjgl-glfw/3.3.1/lwjgl-glfw-3.3.1.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/org/lwjgl/lwjgl-jemalloc-natives-windows-arm64/3.3.1/lwjgl-jemalloc-natives-windows-arm64-3.3.1.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/org/lwjgl/lwjgl-jemalloc-natives-windows-x86/3.3.1/lwjgl-jemalloc-natives-windows-x86-3.3.1.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/org/lwjgl/lwjgl-jemalloc-natives-windows/3.3.1/lwjgl-jemalloc-natives-windows-3.3.1.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/org/lwjgl/lwjgl-jemalloc/3.3.1/lwjgl-jemalloc-3.3.1.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/org/lwjgl/lwjgl-natives-windows-arm64/3.3.1/lwjgl-natives-windows-arm64-3.3.1.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/org/lwjgl/lwjgl-natives-windows-x86/3.3.1/lwjgl-natives-windows-x86-3.3.1.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/org/lwjgl/lwjgl-natives-windows/3.3.1/lwjgl-natives-windows-3.3.1.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/org/lwjgl/lwjgl-openal-natives-windows-arm64/3.3.1/lwjgl-openal-natives-windows-arm64-3.3.1.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/org/lwjgl/lwjgl-openal-natives-windows-x86/3.3.1/lwjgl-openal-natives-windows-x86-3.3.1.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/org/lwjgl/lwjgl-openal-natives-windows/3.3.1/lwjgl-openal-natives-windows-3.3.1.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/org/lwjgl/lwjgl-openal/3.3.1/lwjgl-openal-3.3.1.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/org/lwjgl/lwjgl-opengl-natives-windows-arm64/3.3.1/lwjgl-opengl-natives-windows-arm64-3.3.1.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/org/lwjgl/lwjgl-opengl-natives-windows-x86/3.3.1/lwjgl-opengl-natives-windows-x86-3.3.1.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/org/lwjgl/lwjgl-opengl-natives-windows/3.3.1/lwjgl-opengl-natives-windows-3.3.1.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/org/lwjgl/lwjgl-opengl/3.3.1/lwjgl-opengl-3.3.1.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/org/lwjgl/lwjgl-stb-natives-windows-arm64/3.3.1/lwjgl-stb-natives-windows-arm64-3.3.1.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/org/lwjgl/lwjgl-stb-natives-windows-x86/3.3.1/lwjgl-stb-natives-windows-x86-3.3.1.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/org/lwjgl/lwjgl-stb-natives-windows/3.3.1/lwjgl-stb-natives-windows-3.3.1.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/org/lwjgl/lwjgl-stb/3.3.1/lwjgl-stb-3.3.1.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/org/lwjgl/lwjgl-tinyfd-natives-windows-arm64/3.3.1/lwjgl-tinyfd-natives-windows-arm64-3.3.1.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/org/lwjgl/lwjgl-tinyfd-natives-windows-x86/3.3.1/lwjgl-tinyfd-natives-windows-x86-3.3.1.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/org/lwjgl/lwjgl-tinyfd-natives-windows/3.3.1/lwjgl-tinyfd-natives-windows-3.3.1.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/org/lwjgl/lwjgl-tinyfd/3.3.1/lwjgl-tinyfd-3.3.1.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/org/lwjgl/lwjgl/3.3.1/lwjgl-3.3.1.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/com/github/oshi/oshi-core/6.2.2/oshi-core-6.2.2.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/com/google/code/gson/gson/2.10/gson-2.10.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/com/google/guava/failureaccess/1.0.1/failureaccess-1.0.1.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/com/google/guava/guava/31.1-jre/guava-31.1-jre.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/com/ibm/icu/icu4j/71.1/icu4j-71.1.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/com/mojang/authlib/3.16.29/authlib-3.16.29.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/com/mojang/blocklist/1.0.10/blocklist-1.0.10.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/com/mojang/brigadier/1.0.18/brigadier-1.0.18.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/com/mojang/datafixerupper/5.0.28/datafixerupper-5.0.28.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/com/mojang/javabridge/2.0.25/javabridge-2.0.25.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/com/mojang/logging/1.1.1/logging-1.1.1.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/com/mojang/patchy/2.2.10/patchy-2.2.10.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/com/mojang/text2speech/1.16.7/text2speech-1.16.7.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/commons-codec/commons-codec/1.15/commons-codec-1.15.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/commons-io/commons-io/2.11.0/commons-io-2.11.0.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/commons-logging/commons-logging/1.2/commons-logging-1.2.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/io/netty/netty-buffer/4.1.82.Final/netty-buffer-4.1.82.Final.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/io/netty/netty-codec/4.1.82.Final/netty-codec-4.1.82.Final.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/io/netty/netty-common/4.1.82.Final/netty-common-4.1.82.Final.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/io/netty/netty-handler/4.1.82.Final/netty-handler-4.1.82.Final.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/io/netty/netty-resolver/4.1.82.Final/netty-resolver-4.1.82.Final.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/io/netty/netty-transport-classes-epoll/4.1.82.Final/netty-transport-classes-epoll-4.1.82.Final.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/io/netty/netty-transport-native-unix-common/4.1.82.Final/netty-transport-native-unix-common-4.1.82.Final.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/io/netty/netty-transport/4.1.82.Final/netty-transport-4.1.82.Final.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/it/unimi/dsi/fastutil/8.5.9/fastutil-8.5.9.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/net/java/dev/jna/jna-platform/5.12.1/jna-platform-5.12.1.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/net/java/dev/jna/jna/5.12.1/jna-5.12.1.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/net/sf/jopt-simple/jopt-simple/5.0.4/jopt-simple-5.0.4.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/org/apache/commons/commons-compress/1.21/commons-compress-1.21.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/org/apache/commons/commons-lang3/3.12.0/commons-lang3-3.12.0.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/org/apache/httpcomponents/httpclient/4.5.13/httpclient-4.5.13.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/org/apache/httpcomponents/httpcore/4.4.15/httpcore-4.4.15.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/org/apache/logging/log4j/log4j-api/2.19.0/log4j-api-2.19.0.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/org/apache/logging/log4j/log4j-core/2.19.0/log4j-core-2.19.0.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/org/apache/logging/log4j/log4j-slf4j2-impl/2.19.0/log4j-slf4j2-impl-2.19.0.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/org/joml/joml/1.10.5/joml-1.10.5.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/org/slf4j/slf4j-api/2.0.1/slf4j-api-2.0.1.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/net/fabricmc/intermediary/1.19.3/intermediary-1.19.3.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/net/fabricmc/tiny-mappings-parser/0.3.0+build.17/tiny-mappings-parser-0.3.0+build.17.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/net/fabricmc/sponge-mixin/0.12.5+mixin.0.8.5/sponge-mixin-0.12.5+mixin.0.8.5.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/net/fabricmc/tiny-remapper/0.8.2/tiny-remapper-0.8.2.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/net/fabricmc/access-widener/2.1.0/access-widener-2.1.0.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/org/ow2/asm/asm/9.5/asm-9.5.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/org/ow2/asm/asm-analysis/9.5/asm-analysis-9.5.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/org/ow2/asm/asm-commons/9.5/asm-commons-9.5.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/org/ow2/asm/asm-tree/9.5/asm-tree-9.5.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/org/ow2/asm/asm-util/9.5/asm-util-9.5.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/net/fabricmc/fabric-loader/0.14.21/fabric-loader-0.14.21.jar;C:/Users/david/Documents/Gittest/Prism/Prism/libraries/com/mojang/minecraft/1.19.3/minecraft-1.19.3-client.jar org.prismlauncher.EntryPoint"
     1.270 D | Task "ConcurrentTask(0x16d04a9a418)" succeeded
     5.849 D | Component list save performed now for "1.19.3 Fabric"
    24.719 D | Task "LauncherPartLaunch(0x16d00605920)" succeeded
    24.720 D | Writing account list to "accounts.json"
    24.720 D | Building JSON data structure.
    24.720 D | Building account array.
    24.721 D | Writing account list to file.
    24.723 D | Saved account list to "accounts.json"
    24.724 W | Profile "47671e15d3694526bcffcae3f8b5bd6d" is no longer in use.
    24.728 D | Task "LaunchTask(0x16d026a1660)" succeeded
    24.728 D | Task "LaunchController(0x16d0053c3c0)" succeeded
