     0.000 D | <> Log initialized.
     0.524 D | Java checker succeeded.
     0.528 C | "Error changing setting JavaVendor. Setting doesn't exist."
     0.530 D | Task "CheckJava(0x29143d82200)" succeeded
     0.530 D | Task "CreateGameFolders(0x29143d7f920)" starting for the first time
     0.530 D | Task "CreateGameFolders(0x29143d7f920)" succeeded
     0.530 D | Task "ClaimAccount(0x29143d69a20)" starting for the first time
     0.531 D | Writing account list to "accounts.json"
     0.531 D | Building JSON data structure.
     0.531 D | Building account array.
     0.531 D | Writing account list to file.
     0.532 D | Saved account list to "accounts.json"
     0.532 W | Profile "47671e15d3694526bcffcae3f8b5bd6d" is now in use.
     0.533 D | Task "ClaimAccount(0x29143d69a20)" succeeded
     0.533 D | Task "Update(0x29143d68160)" starting for the first time
     0.535 D | Task "MinecraftUpdate(0x291441e0a70)" starting for the first time
     0.536 D | Task "ComponentUpdateTask(0x29144335130)" starting for the first time
     0.536 D | Loading components
     0.536 D | Task "NetJob(Descargando archivos de actualización de index.json)" starting for the first time
     0.536 D | Remote loading is being run for metadata index
     0.541 D | Task "NetJob(Descargando archivos de actualización de org.lwjgl3/3.3.1.json)" starting for the first time
     0.542 D | Remote loading is being run for "LWJGL 3"
     0.545 D | Task "NetJob(Descargando archivos de actualización de net.minecraft/1.19.3.json)" starting for the first time
     0.545 D | Remote loading is being run for "Minecraft"
     0.546 D | Task "NetJob(Descargando archivos de actualización de net.fabricmc.intermediary/1.19.3.json)" starting for the first time
     0.546 D | Remote loading is being run for "Intermediary Mappings"
     0.547 D | Task "NetJob(Descargando archivos de actualización de net.fabricmc.fabric-loader/0.14.21.json)" starting for the first time
     0.547 D | Remote loading is being run for "Fabric Loader"
     0.547 D | Task "FoldersTask(0x291442acdf0)" starting for the first time
     0.547 D | Task "FoldersTask(0x291442acdf0)" succeeded
     0.576 D | Task "Net::Download(0x2914435a8c0)" starting for the first time
     0.577 D | Downloading  "https://meta.prismlauncher.org/v1/net.fabricmc.fabric-loader/0.14.21.json"
     0.577 D | Task "Net::Download(0x29144286270)" starting for the first time
     0.578 D | Downloading  "https://meta.prismlauncher.org/v1/net.fabricmc.intermediary/1.19.3.json"
     0.578 D | Task "Net::Download(0x2914436f6f0)" starting for the first time
     0.579 D | Downloading  "https://meta.prismlauncher.org/v1/net.minecraft/1.19.3.json"
     0.579 D | Task "Net::Download(0x2914436f9f0)" starting for the first time
     0.580 D | Downloading  "https://meta.prismlauncher.org/v1/org.lwjgl3/3.3.1.json"
     0.580 D | Task "Net::Download(0x291442860f0)" starting for the first time
     0.581 D | Downloading  "https://meta.prismlauncher.org/v1/index.json"
     0.608 D | Download succeeded: "https://i18n.prismlauncher.org/index_v2.json"
     0.608 D | Task "NetJob(Translations Index)" succeeded
     0.608 D | Got translations index!
     0.609 D | Task "NetJob(Translation for es)" starting for the first time
     0.609 D | Dir changed: "C:/Users/david/Desktop/Prism/translations"
     0.611 D | Loading Application Language File for es ...
     0.612 D | Task "Net::Download(0x2914435aa40)" starting for the first time
     0.612 D | Downloading  "https://i18n.prismlauncher.org/ba7c7f8c4b67cfba512140c6d760dd8c10b5d998.class"
     0.613 D | Dir changed: "C:/Users/david/Desktop/Prism/translations"
     0.615 D | Loading Application Language File for es ...
     0.635 D | Download succeeded: "https://i18n.prismlauncher.org/ba7c7f8c4b67cfba512140c6d760dd8c10b5d998.class"
     0.635 D | Task "NetJob(Translation for es)" succeeded
     0.636 D | Got translation: "es"
     0.636 D | Loading Application Language File for es ...
     0.636 D | Dir changed: "C:/Users/david/Desktop/Prism/translations"
     0.638 D | Loading Application Language File for es ...
     0.661 D | Download succeeded: "https://meta.prismlauncher.org/v1/net.fabricmc.intermediary/1.19.3.json"
     0.661 D | Task "NetJob(Descargando archivos de actualización de net.fabricmc.intermediary/1.19.3.json)" succeeded
     0.661 D | Remote task 3 succeeded
     0.661 D | Component list save is scheduled for "1.19.3 Fabric"
     0.663 D | Download succeeded: "https://meta.prismlauncher.org/v1/net.fabricmc.fabric-loader/0.14.21.json"
     0.663 D | Task "NetJob(Descargando archivos de actualización de net.fabricmc.fabric-loader/0.14.21.json)" succeeded
     0.663 D | Remote task 4 succeeded
     0.665 D | Download succeeded: "https://meta.prismlauncher.org/v1/index.json"
     0.665 D | Task "NetJob(Descargando archivos de actualización de index.json)" succeeded
     0.665 D | Remote task 0 succeeded
     0.669 D | Download succeeded: "https://meta.prismlauncher.org/v1/net.minecraft/1.19.3.json"
     0.669 D | Task "NetJob(Descargando archivos de actualización de net.minecraft/1.19.3.json)" succeeded
     0.669 D | Remote task 2 succeeded
     0.808 D | Download succeeded: "https://meta.prismlauncher.org/v1/org.lwjgl3/3.3.1.json"
     0.808 D | Task "NetJob(Descargando archivos de actualización de org.lwjgl3/3.3.1.json)" succeeded
     0.808 D | Remote task 1 succeeded
     0.809 D | Resolving dependencies
     0.809 D | "Req: net.fabricmc.intermediary" Is met.
     0.809 D | "Req: net.minecraft == 1.19.3" Is met.
     0.809 D | "Req: org.lwjgl3" Is met.
     0.809 D | Task "ComponentUpdateTask(0x29144335130)" succeeded
     0.809 D | Component list update/resolve task succeeded for "1.19.3 Fabric"
     0.809 D | Task "LibrariesTask(0x291442bfc60)" starting for the first time
     0.811 D | "1.19.3 Fabric" : downloading libraries
     0.811 D | Applying "org.lwjgl3" GOOD
     0.811 D | Applying "net.minecraft" GOOD
     0.811 D | Applying "net.fabricmc.intermediary" GOOD
     0.811 D | Applying "net.fabricmc.fabric-loader" GOOD
     0.811 D | Checksummed Download for: "org.lwjgl:lwjgl-glfw-natives-windows-arm64:3.3.1" storage: "org/lwjgl/lwjgl-glfw-natives-windows-arm64/3.3.1/lwjgl-glfw-natives-windows-arm64-3.3.1.jar" url: "https://libraries.minecraft.net/org/lwjgl/lwjgl-glfw/3.3.1/lwjgl-glfw-3.3.1-natives-windows-arm64.jar"
     0.811 D | Checksummed Download for: "org.lwjgl:lwjgl-glfw-natives-windows-x86:3.3.1" storage: "org/lwjgl/lwjgl-glfw-natives-windows-x86/3.3.1/lwjgl-glfw-natives-windows-x86-3.3.1.jar" url: "https://libraries.minecraft.net/org/lwjgl/lwjgl-glfw/3.3.1/lwjgl-glfw-3.3.1-natives-windows-x86.jar"
     0.811 D | Checksummed Download for: "org.lwjgl:lwjgl-glfw-natives-windows:3.3.1" storage: "org/lwjgl/lwjgl-glfw-natives-windows/3.3.1/lwjgl-glfw-natives-windows-3.3.1.jar" url: "https://libraries.minecraft.net/org/lwjgl/lwjgl-glfw/3.3.1/lwjgl-glfw-3.3.1-natives-windows.jar"
     0.811 D | Checksummed Download for: "org.lwjgl:lwjgl-glfw:3.3.1" storage: "org/lwjgl/lwjgl-glfw/3.3.1/lwjgl-glfw-3.3.1.jar" url: "https://libraries.minecraft.net/org/lwjgl/lwjgl-glfw/3.3.1/lwjgl-glfw-3.3.1.jar"
     0.812 D | Checksummed Download for: "org.lwjgl:lwjgl-jemalloc-natives-windows-arm64:3.3.1" storage: "org/lwjgl/lwjgl-jemalloc-natives-windows-arm64/3.3.1/lwjgl-jemalloc-natives-windows-arm64-3.3.1.jar" url: "https://libraries.minecraft.net/org/lwjgl/lwjgl-jemalloc/3.3.1/lwjgl-jemalloc-3.3.1-natives-windows-arm64.jar"
     0.812 D | Checksummed Download for: "org.lwjgl:lwjgl-jemalloc-natives-windows-x86:3.3.1" storage: "org/lwjgl/lwjgl-jemalloc-natives-windows-x86/3.3.1/lwjgl-jemalloc-natives-windows-x86-3.3.1.jar" url: "https://libraries.minecraft.net/org/lwjgl/lwjgl-jemalloc/3.3.1/lwjgl-jemalloc-3.3.1-natives-windows-x86.jar"
     0.812 D | Checksummed Download for: "org.lwjgl:lwjgl-jemalloc-natives-windows:3.3.1" storage: "org/lwjgl/lwjgl-jemalloc-natives-windows/3.3.1/lwjgl-jemalloc-natives-windows-3.3.1.jar" url: "https://libraries.minecraft.net/org/lwjgl/lwjgl-jemalloc/3.3.1/lwjgl-jemalloc-3.3.1-natives-windows.jar"
     0.812 D | Checksummed Download for: "org.lwjgl:lwjgl-jemalloc:3.3.1" storage: "org/lwjgl/lwjgl-jemalloc/3.3.1/lwjgl-jemalloc-3.3.1.jar" url: "https://libraries.minecraft.net/org/lwjgl/lwjgl-jemalloc/3.3.1/lwjgl-jemalloc-3.3.1.jar"
     0.812 D | Checksummed Download for: "org.lwjgl:lwjgl-natives-windows-arm64:3.3.1" storage: "org/lwjgl/lwjgl-natives-windows-arm64/3.3.1/lwjgl-natives-windows-arm64-3.3.1.jar" url: "https://libraries.minecraft.net/org/lwjgl/lwjgl/3.3.1/lwjgl-3.3.1-natives-windows-arm64.jar"
     0.812 D | Checksummed Download for: "org.lwjgl:lwjgl-natives-windows-x86:3.3.1" storage: "org/lwjgl/lwjgl-natives-windows-x86/3.3.1/lwjgl-natives-windows-x86-3.3.1.jar" url: "https://libraries.minecraft.net/org/lwjgl/lwjgl/3.3.1/lwjgl-3.3.1-natives-windows-x86.jar"
     0.812 D | Checksummed Download for: "org.lwjgl:lwjgl-natives-windows:3.3.1" storage: "org/lwjgl/lwjgl-natives-windows/3.3.1/lwjgl-natives-windows-3.3.1.jar" url: "https://libraries.minecraft.net/org/lwjgl/lwjgl/3.3.1/lwjgl-3.3.1-natives-windows.jar"
     0.812 D | Checksummed Download for: "org.lwjgl:lwjgl-openal-natives-windows-arm64:3.3.1" storage: "org/lwjgl/lwjgl-openal-natives-windows-arm64/3.3.1/lwjgl-openal-natives-windows-arm64-3.3.1.jar" url: "https://libraries.minecraft.net/org/lwjgl/lwjgl-openal/3.3.1/lwjgl-openal-3.3.1-natives-windows-arm64.jar"
     0.812 D | Checksummed Download for: "org.lwjgl:lwjgl-openal-natives-windows-x86:3.3.1" storage: "org/lwjgl/lwjgl-openal-natives-windows-x86/3.3.1/lwjgl-openal-natives-windows-x86-3.3.1.jar" url: "https://libraries.minecraft.net/org/lwjgl/lwjgl-openal/3.3.1/lwjgl-openal-3.3.1-natives-windows-x86.jar"
     0.812 D | Checksummed Download for: "org.lwjgl:lwjgl-openal-natives-windows:3.3.1" storage: "org/lwjgl/lwjgl-openal-natives-windows/3.3.1/lwjgl-openal-natives-windows-3.3.1.jar" url: "https://libraries.minecraft.net/org/lwjgl/lwjgl-openal/3.3.1/lwjgl-openal-3.3.1-natives-windows.jar"
     0.812 D | Checksummed Download for: "org.lwjgl:lwjgl-openal:3.3.1" storage: "org/lwjgl/lwjgl-openal/3.3.1/lwjgl-openal-3.3.1.jar" url: "https://libraries.minecraft.net/org/lwjgl/lwjgl-openal/3.3.1/lwjgl-openal-3.3.1.jar"
     0.812 D | Checksummed Download for: "org.lwjgl:lwjgl-opengl-natives-windows-arm64:3.3.1" storage: "org/lwjgl/lwjgl-opengl-natives-windows-arm64/3.3.1/lwjgl-opengl-natives-windows-arm64-3.3.1.jar" url: "https://libraries.minecraft.net/org/lwjgl/lwjgl-opengl/3.3.1/lwjgl-opengl-3.3.1-natives-windows-arm64.jar"
     0.812 D | Checksummed Download for: "org.lwjgl:lwjgl-opengl-natives-windows-x86:3.3.1" storage: "org/lwjgl/lwjgl-opengl-natives-windows-x86/3.3.1/lwjgl-opengl-natives-windows-x86-3.3.1.jar" url: "https://libraries.minecraft.net/org/lwjgl/lwjgl-opengl/3.3.1/lwjgl-opengl-3.3.1-natives-windows-x86.jar"
     0.813 D | Checksummed Download for: "org.lwjgl:lwjgl-opengl-natives-windows:3.3.1" storage: "org/lwjgl/lwjgl-opengl-natives-windows/3.3.1/lwjgl-opengl-natives-windows-3.3.1.jar" url: "https://libraries.minecraft.net/org/lwjgl/lwjgl-opengl/3.3.1/lwjgl-opengl-3.3.1-natives-windows.jar"
     0.813 D | Checksummed Download for: "org.lwjgl:lwjgl-opengl:3.3.1" storage: "org/lwjgl/lwjgl-opengl/3.3.1/lwjgl-opengl-3.3.1.jar" url: "https://libraries.minecraft.net/org/lwjgl/lwjgl-opengl/3.3.1/lwjgl-opengl-3.3.1.jar"
     0.813 D | Checksummed Download for: "org.lwjgl:lwjgl-stb-natives-windows-arm64:3.3.1" storage: "org/lwjgl/lwjgl-stb-natives-windows-arm64/3.3.1/lwjgl-stb-natives-windows-arm64-3.3.1.jar" url: "https://libraries.minecraft.net/org/lwjgl/lwjgl-stb/3.3.1/lwjgl-stb-3.3.1-natives-windows-arm64.jar"
     0.813 D | Checksummed Download for: "org.lwjgl:lwjgl-stb-natives-windows-x86:3.3.1" storage: "org/lwjgl/lwjgl-stb-natives-windows-x86/3.3.1/lwjgl-stb-natives-windows-x86-3.3.1.jar" url: "https://libraries.minecraft.net/org/lwjgl/lwjgl-stb/3.3.1/lwjgl-stb-3.3.1-natives-windows-x86.jar"
     0.813 D | Checksummed Download for: "org.lwjgl:lwjgl-stb-natives-windows:3.3.1" storage: "org/lwjgl/lwjgl-stb-natives-windows/3.3.1/lwjgl-stb-natives-windows-3.3.1.jar" url: "https://libraries.minecraft.net/org/lwjgl/lwjgl-stb/3.3.1/lwjgl-stb-3.3.1-natives-windows.jar"
     0.813 D | Checksummed Download for: "org.lwjgl:lwjgl-stb:3.3.1" storage: "org/lwjgl/lwjgl-stb/3.3.1/lwjgl-stb-3.3.1.jar" url: "https://libraries.minecraft.net/org/lwjgl/lwjgl-stb/3.3.1/lwjgl-stb-3.3.1.jar"
     0.813 D | Checksummed Download for: "org.lwjgl:lwjgl-tinyfd-natives-windows-arm64:3.3.1" storage: "org/lwjgl/lwjgl-tinyfd-natives-windows-arm64/3.3.1/lwjgl-tinyfd-natives-windows-arm64-3.3.1.jar" url: "https://libraries.minecraft.net/org/lwjgl/lwjgl-tinyfd/3.3.1/lwjgl-tinyfd-3.3.1-natives-windows-arm64.jar"
     0.813 D | Checksummed Download for: "org.lwjgl:lwjgl-tinyfd-natives-windows-x86:3.3.1" storage: "org/lwjgl/lwjgl-tinyfd-natives-windows-x86/3.3.1/lwjgl-tinyfd-natives-windows-x86-3.3.1.jar" url: "https://libraries.minecraft.net/org/lwjgl/lwjgl-tinyfd/3.3.1/lwjgl-tinyfd-3.3.1-natives-windows-x86.jar"
     0.813 D | Checksummed Download for: "org.lwjgl:lwjgl-tinyfd-natives-windows:3.3.1" storage: "org/lwjgl/lwjgl-tinyfd-natives-windows/3.3.1/lwjgl-tinyfd-natives-windows-3.3.1.jar" url: "https://libraries.minecraft.net/org/lwjgl/lwjgl-tinyfd/3.3.1/lwjgl-tinyfd-3.3.1-natives-windows.jar"
     0.813 D | Checksummed Download for: "org.lwjgl:lwjgl-tinyfd:3.3.1" storage: "org/lwjgl/lwjgl-tinyfd/3.3.1/lwjgl-tinyfd-3.3.1.jar" url: "https://libraries.minecraft.net/org/lwjgl/lwjgl-tinyfd/3.3.1/lwjgl-tinyfd-3.3.1.jar"
     0.813 D | Checksummed Download for: "org.lwjgl:lwjgl:3.3.1" storage: "org/lwjgl/lwjgl/3.3.1/lwjgl-3.3.1.jar" url: "https://libraries.minecraft.net/org/lwjgl/lwjgl/3.3.1/lwjgl-3.3.1.jar"
     0.813 D | Checksummed Download for: "com.github.oshi:oshi-core:6.2.2" storage: "com/github/oshi/oshi-core/6.2.2/oshi-core-6.2.2.jar" url: "https://libraries.minecraft.net/com/github/oshi/oshi-core/6.2.2/oshi-core-6.2.2.jar"
     0.814 D | Checksummed Download for: "com.google.code.gson:gson:2.10" storage: "com/google/code/gson/gson/2.10/gson-2.10.jar" url: "https://libraries.minecraft.net/com/google/code/gson/gson/2.10/gson-2.10.jar"
     0.814 D | Checksummed Download for: "com.google.guava:failureaccess:1.0.1" storage: "com/google/guava/failureaccess/1.0.1/failureaccess-1.0.1.jar" url: "https://libraries.minecraft.net/com/google/guava/failureaccess/1.0.1/failureaccess-1.0.1.jar"
     0.814 D | Checksummed Download for: "com.google.guava:guava:31.1-jre" storage: "com/google/guava/guava/31.1-jre/guava-31.1-jre.jar" url: "https://libraries.minecraft.net/com/google/guava/guava/31.1-jre/guava-31.1-jre.jar"
     0.814 D | Checksummed Download for: "com.ibm.icu:icu4j:71.1" storage: "com/ibm/icu/icu4j/71.1/icu4j-71.1.jar" url: "https://libraries.minecraft.net/com/ibm/icu/icu4j/71.1/icu4j-71.1.jar"
     0.814 D | Checksummed Download for: "com.mojang:authlib:3.16.29" storage: "com/mojang/authlib/3.16.29/authlib-3.16.29.jar" url: "https://libraries.minecraft.net/com/mojang/authlib/3.16.29/authlib-3.16.29.jar"
     0.814 D | Checksummed Download for: "com.mojang:blocklist:1.0.10" storage: "com/mojang/blocklist/1.0.10/blocklist-1.0.10.jar" url: "https://libraries.minecraft.net/com/mojang/blocklist/1.0.10/blocklist-1.0.10.jar"
     0.814 D | Checksummed Download for: "com.mojang:brigadier:1.0.18" storage: "com/mojang/brigadier/1.0.18/brigadier-1.0.18.jar" url: "https://libraries.minecraft.net/com/mojang/brigadier/1.0.18/brigadier-1.0.18.jar"
     0.815 D | Checksummed Download for: "com.mojang:datafixerupper:5.0.28" storage: "com/mojang/datafixerupper/5.0.28/datafixerupper-5.0.28.jar" url: "https://libraries.minecraft.net/com/mojang/datafixerupper/5.0.28/datafixerupper-5.0.28.jar"
     0.815 D | Checksummed Download for: "com.mojang:javabridge:2.0.25" storage: "com/mojang/javabridge/2.0.25/javabridge-2.0.25.jar" url: "https://libraries.minecraft.net/com/mojang/javabridge/2.0.25/javabridge-2.0.25.jar"
     0.815 D | Checksummed Download for: "com.mojang:logging:1.1.1" storage: "com/mojang/logging/1.1.1/logging-1.1.1.jar" url: "https://libraries.minecraft.net/com/mojang/logging/1.1.1/logging-1.1.1.jar"
     0.815 D | Checksummed Download for: "com.mojang:patchy:2.2.10" storage: "com/mojang/patchy/2.2.10/patchy-2.2.10.jar" url: "https://libraries.minecraft.net/com/mojang/patchy/2.2.10/patchy-2.2.10.jar"
     0.815 D | Checksummed Download for: "com.mojang:text2speech:1.16.7" storage: "com/mojang/text2speech/1.16.7/text2speech-1.16.7.jar" url: "https://libraries.minecraft.net/com/mojang/text2speech/1.16.7/text2speech-1.16.7.jar"
     0.815 D | Checksummed Download for: "commons-codec:commons-codec:1.15" storage: "commons-codec/commons-codec/1.15/commons-codec-1.15.jar" url: "https://libraries.minecraft.net/commons-codec/commons-codec/1.15/commons-codec-1.15.jar"
     0.815 D | Checksummed Download for: "commons-io:commons-io:2.11.0" storage: "commons-io/commons-io/2.11.0/commons-io-2.11.0.jar" url: "https://libraries.minecraft.net/commons-io/commons-io/2.11.0/commons-io-2.11.0.jar"
     0.815 D | Checksummed Download for: "commons-logging:commons-logging:1.2" storage: "commons-logging/commons-logging/1.2/commons-logging-1.2.jar" url: "https://libraries.minecraft.net/commons-logging/commons-logging/1.2/commons-logging-1.2.jar"
     0.815 D | Checksummed Download for: "io.netty:netty-buffer:4.1.82.Final" storage: "io/netty/netty-buffer/4.1.82.Final/netty-buffer-4.1.82.Final.jar" url: "https://libraries.minecraft.net/io/netty/netty-buffer/4.1.82.Final/netty-buffer-4.1.82.Final.jar"
     0.816 D | Checksummed Download for: "io.netty:netty-codec:4.1.82.Final" storage: "io/netty/netty-codec/4.1.82.Final/netty-codec-4.1.82.Final.jar" url: "https://libraries.minecraft.net/io/netty/netty-codec/4.1.82.Final/netty-codec-4.1.82.Final.jar"
     0.816 D | Checksummed Download for: "io.netty:netty-common:4.1.82.Final" storage: "io/netty/netty-common/4.1.82.Final/netty-common-4.1.82.Final.jar" url: "https://libraries.minecraft.net/io/netty/netty-common/4.1.82.Final/netty-common-4.1.82.Final.jar"
     0.816 D | Checksummed Download for: "io.netty:netty-handler:4.1.82.Final" storage: "io/netty/netty-handler/4.1.82.Final/netty-handler-4.1.82.Final.jar" url: "https://libraries.minecraft.net/io/netty/netty-handler/4.1.82.Final/netty-handler-4.1.82.Final.jar"
     0.816 D | Checksummed Download for: "io.netty:netty-resolver:4.1.82.Final" storage: "io/netty/netty-resolver/4.1.82.Final/netty-resolver-4.1.82.Final.jar" url: "https://libraries.minecraft.net/io/netty/netty-resolver/4.1.82.Final/netty-resolver-4.1.82.Final.jar"
     0.816 D | Checksummed Download for: "io.netty:netty-transport-classes-epoll:4.1.82.Final" storage: "io/netty/netty-transport-classes-epoll/4.1.82.Final/netty-transport-classes-epoll-4.1.82.Final.jar" url: "https://libraries.minecraft.net/io/netty/netty-transport-classes-epoll/4.1.82.Final/netty-transport-classes-epoll-4.1.82.Final.jar"
     0.816 D | Checksummed Download for: "io.netty:netty-transport-native-unix-common:4.1.82.Final" storage: "io/netty/netty-transport-native-unix-common/4.1.82.Final/netty-transport-native-unix-common-4.1.82.Final.jar" url: "https://libraries.minecraft.net/io/netty/netty-transport-native-unix-common/4.1.82.Final/netty-transport-native-unix-common-4.1.82.Final.jar"
     0.816 D | Checksummed Download for: "io.netty:netty-transport:4.1.82.Final" storage: "io/netty/netty-transport/4.1.82.Final/netty-transport-4.1.82.Final.jar" url: "https://libraries.minecraft.net/io/netty/netty-transport/4.1.82.Final/netty-transport-4.1.82.Final.jar"
     0.816 D | Checksummed Download for: "it.unimi.dsi:fastutil:8.5.9" storage: "it/unimi/dsi/fastutil/8.5.9/fastutil-8.5.9.jar" url: "https://libraries.minecraft.net/it/unimi/dsi/fastutil/8.5.9/fastutil-8.5.9.jar"
     0.816 D | Checksummed Download for: "net.java.dev.jna:jna-platform:5.12.1" storage: "net/java/dev/jna/jna-platform/5.12.1/jna-platform-5.12.1.jar" url: "https://libraries.minecraft.net/net/java/dev/jna/jna-platform/5.12.1/jna-platform-5.12.1.jar"
     0.816 D | Checksummed Download for: "net.java.dev.jna:jna:5.12.1" storage: "net/java/dev/jna/jna/5.12.1/jna-5.12.1.jar" url: "https://libraries.minecraft.net/net/java/dev/jna/jna/5.12.1/jna-5.12.1.jar"
     0.816 D | Checksummed Download for: "net.sf.jopt-simple:jopt-simple:5.0.4" storage: "net/sf/jopt-simple/jopt-simple/5.0.4/jopt-simple-5.0.4.jar" url: "https://libraries.minecraft.net/net/sf/jopt-simple/jopt-simple/5.0.4/jopt-simple-5.0.4.jar"
     0.817 D | Checksummed Download for: "org.apache.commons:commons-compress:1.21" storage: "org/apache/commons/commons-compress/1.21/commons-compress-1.21.jar" url: "https://libraries.minecraft.net/org/apache/commons/commons-compress/1.21/commons-compress-1.21.jar"
     0.817 D | Checksummed Download for: "org.apache.commons:commons-lang3:3.12.0" storage: "org/apache/commons/commons-lang3/3.12.0/commons-lang3-3.12.0.jar" url: "https://libraries.minecraft.net/org/apache/commons/commons-lang3/3.12.0/commons-lang3-3.12.0.jar"
     0.817 D | Checksummed Download for: "org.apache.httpcomponents:httpclient:4.5.13" storage: "org/apache/httpcomponents/httpclient/4.5.13/httpclient-4.5.13.jar" url: "https://libraries.minecraft.net/org/apache/httpcomponents/httpclient/4.5.13/httpclient-4.5.13.jar"
     0.817 D | Checksummed Download for: "org.apache.httpcomponents:httpcore:4.4.15" storage: "org/apache/httpcomponents/httpcore/4.4.15/httpcore-4.4.15.jar" url: "https://libraries.minecraft.net/org/apache/httpcomponents/httpcore/4.4.15/httpcore-4.4.15.jar"
