     0.000 D | <> Log initialized.
     0.555 D | Java checker finished with status  QProcess::NormalExit  exit code  0
     0.555 D | Java checker succeeded.
     0.560 C | "Error changing setting JavaVendor. Setting doesn't exist."
     0.561 D | Task "CheckJava(0x1649b7ea100)" succeeded
     0.562 D | Task "CreateGameFolders(0x1649b809d70)" starting for the first time
     0.562 D | Task "CreateGameFolders(0x1649b809d70)" succeeded
     0.562 D | Task "ClaimAccount(0x1649b7f7a10)" starting for the first time
     0.562 D | Writing account list to "accounts.json"
     0.562 D | Building JSON data structure.
     0.562 D | Building account array.
     0.562 D | Writing account list to file.
     0.563 D | Saved account list to "accounts.json"
     0.563 W | Profile "47671e15d3694526bcffcae3f8b5bd6d" is now in use.
     0.564 D | Task "ClaimAccount(0x1649b7f7a10)" succeeded
     0.564 D | Task "Update(0x1649b7f7c20)" starting for the first time
     0.566 D | Task "MinecraftUpdate(0x1649d9a6810)" starting for the first time
     0.567 D | Task "ComponentUpdateTask(0x164a00d7080)" starting for the first time
     0.567 D | Loading components
     0.567 D | Task "NetJob(Descargando archivos de actualización de index.json)" starting for the first time
     0.567 D | Remote loading is being run for metadata index
     0.571 D | Task "NetJob(Descargando archivos de actualización de org.lwjgl3/3.3.1.json)" starting for the first time
     0.572 D | Remote loading is being run for "LWJGL 3"
     0.574 D | Task "NetJob(Descargando archivos de actualización de net.minecraft/1.19.3.json)" starting for the first time
     0.575 D | Remote loading is being run for "Minecraft"
     0.575 D | Task "NetJob(Descargando archivos de actualización de net.fabricmc.intermediary/1.19.3.json)" starting for the first time
     0.575 D | Remote loading is being run for "Intermediary Mappings"
     0.576 D | Task "NetJob(Descargando archivos de actualización de net.fabricmc.fabric-loader/0.14.21.json)" starting for the first time
     0.576 D | Remote loading is being run for "Fabric Loader"
     0.576 D | Task "FoldersTask(0x164a00d6810)" starting for the first time
     0.576 D | Task "FoldersTask(0x164a00d6810)" succeeded
     0.614 D | Task "Net::Download(0x164a014f100)" starting for the first time
     0.614 D | Downloading  "https://meta.prismlauncher.org/v1/net.fabricmc.fabric-loader/0.14.21.json"
     0.615 D | Task "Net::Download(0x164a014eec0)" starting for the first time
     0.615 D | Downloading  "https://meta.prismlauncher.org/v1/net.fabricmc.intermediary/1.19.3.json"
     0.616 D | Task "Net::Download(0x164a014f040)" starting for the first time
     0.616 D | Downloading  "https://meta.prismlauncher.org/v1/net.minecraft/1.19.3.json"
     0.616 D | Task "Net::Download(0x164a0142f80)" starting for the first time
     0.617 D | Downloading  "https://meta.prismlauncher.org/v1/org.lwjgl3/3.3.1.json"
     0.617 D | Task "Net::Download(0x164a00ce520)" starting for the first time
     0.618 D | Downloading  "https://meta.prismlauncher.org/v1/index.json"
     0.698 D | Download succeeded: "https://meta.prismlauncher.org/v1/net.fabricmc.fabric-loader/0.14.21.json"
     0.698 D | Task "NetJob(Descargando archivos de actualización de net.fabricmc.fabric-loader/0.14.21.json)" succeeded
     0.699 D | Remote task 4 succeeded
     0.699 D | Download succeeded: "https://meta.prismlauncher.org/v1/net.fabricmc.intermediary/1.19.3.json"
     0.699 D | Task "NetJob(Descargando archivos de actualización de net.fabricmc.intermediary/1.19.3.json)" succeeded
     0.699 D | Remote task 3 succeeded
     0.699 D | Component list save is scheduled for "1.19.3 Fabric"
     0.699 D | Download succeeded: "https://meta.prismlauncher.org/v1/index.json"
     0.699 D | Task "NetJob(Descargando archivos de actualización de index.json)" succeeded
     0.700 D | Remote task 0 succeeded
     0.700 D | Download succeeded: "https://meta.prismlauncher.org/v1/org.lwjgl3/3.3.1.json"
     0.700 D | Task "NetJob(Descargando archivos de actualización de org.lwjgl3/3.3.1.json)" succeeded
     0.700 D | Remote task 1 succeeded
     0.700 D | Download succeeded: "https://meta.prismlauncher.org/v1/net.minecraft/1.19.3.json"
     0.700 D | Task "NetJob(Descargando archivos de actualización de net.minecraft/1.19.3.json)" succeeded
     0.700 D | Remote task 2 succeeded
     0.700 D | Resolving dependencies
     0.700 D | "Req: net.fabricmc.intermediary" Is met.
     0.700 D | "Req: net.minecraft == 1.19.3" Is met.
     0.700 D | "Req: org.lwjgl3" Is met.
     0.701 D | Task "ComponentUpdateTask(0x164a00d7080)" succeeded
     0.701 D | Component list update/resolve task succeeded for "1.19.3 Fabric"
     0.701 D | Task "LibrariesTask(0x164a0066400)" starting for the first time
     0.703 D | "1.19.3 Fabric" : downloading libraries
     0.704 D | Applying "org.lwjgl3" GOOD
     0.704 D | Applying "net.minecraft" GOOD
     0.704 D | Applying "net.fabricmc.intermediary" GOOD
     0.704 D | Applying "net.fabricmc.fabric-loader" GOOD
     0.708 D | Task "NetJob(Librerias para la instancia 1.19.3 Fabric)" starting for the first time
     0.712 D | Task "NetJob(Librerias para la instancia 1.19.3 Fabric)" succeeded
     0.712 D | Task "LibrariesTask(0x164a0066400)" succeeded
     0.712 D | Task "FMLLibrariesTask(0x164a014ef80)" starting for the first time
     0.712 D | Task "FMLLibrariesTask(0x164a014ef80)" succeeded
     0.712 D | Task "AssetUpdateTask(0x164a0066680)" starting for the first time
     0.713 D | Asset index SHA1: "c7cdde3fad6be32a393b14e4e9e8b8877c4b7ef9"
     0.713 D | "1.19.3 Fabric" : Starting asset index download
     0.713 D | Task "NetJob(Índice de recursos para 1.19.3 Fabric)" starting for the first time
     0.714 D | Task "Net::Download(0x164a014f4c0)" starting for the first time
     0.715 D | Downloading  "https://piston-meta.mojang.com/v1/packages/c7cdde3fad6be32a393b14e4e9e8b8877c4b7ef9/2.json"
     0.761 D | Download succeeded: "https://i18n.prismlauncher.org/index_v2.json"
     0.761 D | Task "NetJob(Translations Index)" succeeded
     0.761 D | Got translations index!
     0.762 D | Task "NetJob(Translation for es)" starting for the first time
     0.762 D | Dir changed: "C:/Users/david/Desktop/Prism/translations"
     0.763 D | Loading Application Language File for es ...
     0.763 D | Task "Net::Download(0x164a00819d0)" starting for the first time
     0.764 D | Downloading  "https://i18n.prismlauncher.org/ba7c7f8c4b67cfba512140c6d760dd8c10b5d998.class"
     0.765 D | Dir changed: "C:/Users/david/Desktop/Prism/translations"
     0.766 D | Loading Application Language File for es ...
     0.896 D | Download succeeded: "https://piston-meta.mojang.com/v1/packages/c7cdde3fad6be32a393b14e4e9e8b8877c4b7ef9/2.json"
     0.896 D | Task "NetJob(Índice de recursos para 1.19.3 Fabric)" succeeded
     0.896 D | "1.19.3 Fabric" : Finished asset index download
     0.973 D | Task "AssetUpdateTask(0x164a0066680)" succeeded
     0.974 D | Task "MinecraftUpdate(0x1649d9a6810)" succeeded
     0.974 D | Task "Update(0x1649b7f7c20)" succeeded
     0.987 D | Task "ModMinecraftJar(0x1649b809fb0)" starting for the first time
     0.987 D | Task "ModMinecraftJar(0x1649b809fb0)" succeeded
     0.987 D | Task "ScanModFolders(0x1649b817550)" starting for the first time
     0.989 D | Download succeeded: "https://i18n.prismlauncher.org/ba7c7f8c4b67cfba512140c6d760dd8c10b5d998.class"
     0.990 D | Task "NetJob(Translation for es)" succeeded
     0.990 D | Got translation: "es"
     0.990 D | Loading Application Language File for es ...
     0.990 D | Task "ConcurrentTask(0x1649e2e60d8)" starting for the first time
     0.990 D | Task "ConcurrentTask(0x1649e2e60d8)" starting for the first time
     0.990 D | Task "ScanModFolders(0x1649b817550)" succeeded
e
     1.011 D | Task "PrintInstanceInfo(0x1649b7f7cd0)" succeeded
     1.011 D | Task "ExtractNatives(0x1649b809230)" starting for the first time
     1.012 D | Task "ExtractNatives(0x1649b809230)" succeeded
     1.012 D | Task "ReconstructAssets(0x1649b8093e0)" starting for the first time
     1.012 D | reconstructAssets "assets" "assets/indexes" "assets/objects" "assets/virtual" "assets/virtual/2"
     1.028 D | Task "ReconstructAssets(0x1649b8093e0)" succeeded
     1.029 D | Task "VerifyJavaInstall(0x1649b80a1f0)" starting for the first time
     1.029 D | Task "VerifyJavaInstall(0x1649b80a1f0)" succeeded
     1.029 D | Task "LauncherPartLaunch(0x1649b823930)" starting for the first time
     1.045 D | "-XX:HeapDumpPath=MojangTricksIntelDriversForPerformance_javaw.exe_minecraft.exe.heapdump -Xms512m -Xmx4096m -Duser.language=en -Djava.library.path=C:/Users/david/Desktop/Prism/instances/1.19.3 Fabric/natives -cp C:/Users/david/Desktop/Prism/jars/NewLaunch.jar;C:/Users/david/Desktop/Prism/libraries/org/lwjgl/lwjgl-glfw-natives-windows-arm64/3.3.1/lwjgl-glfw-natives-windows-arm64-3.3.1.jar;C:/Users/david/Desktop/Prism/libraries/org/lwjgl/lwjgl-glfw-natives-windows-x86/3.3.1/lwjgl-glfw-natives-windows-x86-3.3.1.jar;C:/Users/david/Desktop/Prism/libraries/org/lwjgl/lwjgl-glfw-natives-windows/3.3.1/lwjgl-glfw-natives-windows-3.3.1.jar;C:/Users/david/Desktop/Prism/libraries/org/lwjgl/lwjgl-glfw/3.3.1/lwjgl-glfw-3.3.1.jar;C:/Users/david/Desktop/Prism/libraries/org/lwjgl/lwjgl-jemalloc-natives-windows-arm64/3.3.1/lwjgl-jemalloc-natives-windows-arm64-3.3.1.jar;C:/Users/david/Desktop/Prism/libraries/org/lwjgl/lwjgl-jemalloc-natives-windows-x86/3.3.1/lwjgl-jemalloc-natives-windows-x86-3.3.1.jar;C:/Users/david/Desktop/Prism/libraries/org/lwjgl/lwjgl-jemalloc-natives-windows/3.3.1/lwjgl-jemalloc-natives-windows-3.3.1.jar;C:/Users/david/Desktop/Prism/libraries/org/lwjgl/lwjgl-jemalloc/3.3.1/lwjgl-jemalloc-3.3.1.jar;C:/Users/david/Desktop/Prism/libraries/org/lwjgl/lwjgl-natives-windows-arm64/3.3.1/lwjgl-natives-windows-arm64-3.3.1.jar;C:/Users/david/Desktop/Prism/libraries/org/lwjgl/lwjgl-natives-windows-x86/3.3.1/lwjgl-natives-windows-x86-3.3.1.jar;C:/Users/david/Desktop/Prism/libraries/org/lwjgl/lwjgl-natives-windows/3.3.1/lwjgl-natives-windows-3.3.1.jar;C:/Users/david/Desktop/Prism/libraries/org/lwjgl/lwjgl-openal-natives-windows-arm64/3.3.1/lwjgl-openal-natives-windows-arm64-3.3.1.jar;C:/Users/david/Desktop/Prism/libraries/org/lwjgl/lwjgl-openal-natives-windows-x86/3.3.1/lwjgl-openal-natives-windows-x86-3.3.1.jar;C:/Users/david/Desktop/Prism/libraries/org/lwjgl/lwjgl-openal-natives-windows/3.3.1/lwjgl-openal-natives-windows-3.3.1.jar;C:/Users/david/Desktop/Prism/libraries/org/lwjgl/lwjgl-openal/3.3.1/lwjgl-openal-3.3.1.jar;C:/Users/david/Desktop/Prism/libraries/org/lwjgl/lwjgl-opengl-natives-windows-arm64/3.3.1/lwjgl-opengl-natives-windows-arm64-3.3.1.jar;C:/Users/david/Desktop/Prism/libraries/org/lwjgl/lwjgl-opengl-natives-windows-x86/3.3.1/lwjgl-opengl-natives-windows-x86-3.3.1.jar;C:/Users/david/Desktop/Prism/libraries/org/lwjgl/lwjgl-opengl-natives-windows/3.3.1/lwjgl-opengl-natives-windows-3.3.1.jar;C:/Users/david/Desktop/Prism/libraries/org/lwjgl/lwjgl-opengl/3.3.1/lwjgl-opengl-3.3.1.jar;C:/Users/david/Desktop/Prism/libraries/org/lwjgl/lwjgl-stb-natives-windows-arm64/3.3.1/lwjgl-stb-natives-windows-arm64-3.3.1.jar;C:/Users/david/Desktop/Prism/libraries/org/lwjgl/lwjgl-stb-natives-windows-x86/3.3.1/lwjgl-stb-natives-windows-x86-3.3.1.jar;C:/Users/david/Desktop/Prism/libraries/org/lwjgl/lwjgl-stb-natives-windows/3.3.1/lwjgl-stb-natives-windows-3.3.1.jar;C:/Users/david/Desktop/Prism/libraries/org/lwjgl/lwjgl-stb/3.3.1/lwjgl-stb-3.3.1.jar;C:/Users/david/Desktop/Prism/libraries/org/lwjgl/lwjgl-tinyfd-natives-windows-arm64/3.3.1/lwjgl-tinyfd-natives-windows-arm64-3.3.1.jar;C:/Users/david/Desktop/Prism/libraries/org/lwjgl/lwjgl-tinyfd-natives-windows-x86/3.3.1/lwjgl-tinyfd-natives-windows-x86-3.3.1.jar;C:/Users/david/Desktop/Prism/libraries/org/lwjgl/lwjgl-tinyfd-natives-windows/3.3.1/lwjgl-tinyfd-natives-windows-3.3.1.jar;C:/Users/david/Desktop/Prism/libraries/org/lwjgl/lwjgl-tinyfd/3.3.1/lwjgl-tinyfd-3.3.1.jar;C:/Users/david/Desktop/Prism/libraries/org/lwjgl/lwjgl/3.3.1/lwjgl-3.3.1.jar;C:/Users/david/Desktop/Prism/libraries/com/github/oshi/oshi-core/6.2.2/oshi-core-6.2.2.jar;C:/Users/david/Desktop/Prism/libraries/com/google/code/gson/gson/2.10/gson-2.10.jar;C:/Users/david/Desktop/Prism/libraries/com/google/guava/failureaccess/1.0.1/failureaccess-1.0.1.jar;C:/Users/david/Desktop/Prism/libraries/com/google/guava/guava/31.1-jre/guava-31.1-jre.jar;C:/Users/david/Desktop/Prism/libraries/com/ibm/icu/icu4j/71.1/icu4j-71.1.jar;C:/Users/david/Desktop/Prism/libraries/com/mojang/authlib/3.16.29/authlib-3.16.29.jar;C:/Users/david/Desktop/Prism/libraries/com/mojang/blocklist/1.0.10/blocklist-1.0.10.jar;C:/Users/david/Desktop/Prism/libraries/com/mojang/brigadier/1.0.18/brigadier-1.0.18.jar;C:/Users/david/Desktop/Prism/libraries/com/mojang/datafixerupper/5.0.28/datafixerupper-5.0.28.jar;C:/Users/david/Desktop/Prism/libraries/com/mojang/javabridge/2.0.25/javabridge-2.0.25.jar;C:/Users/david/Desktop/Prism/libraries/com/mojang/logging/1.1.1/logging-1.1.1.jar;C:/Users/david/Desktop/Prism/libraries/com/mojang/patchy/2.2.10/patchy-2.2.10.jar;C:/Users/david/Desktop/Prism/libraries/com/mojang/text2speech/1.16.7/text2speech-1.16.7.jar;C:/Users/david/Desktop/Prism/libraries/commons-codec/commons-codec/1.15/commons-codec-1.15.jar;C:/Users/david/Desktop/Prism/libraries/commons-io/commons-io/2.11.0/commons-io-2.11.0.jar;C:/Users/david/Desktop/Prism/libraries/commons-logging/commons-logging/1.2/commons-logging-1.2.jar;C:/Users/david/Desktop/Prism/libraries/io/netty/netty-buffer/4.1.82.Final/netty-buffer-4.1.82.Final.jar;C:/Users/david/Desktop/Prism/libraries/io/netty/netty-codec/4.1.82.Final/netty-codec-4.1.82.Final.jar;C:/Users/david/Desktop/Prism/libraries/io/netty/netty-common/4.1.82.Final/netty-common-4.1.82.Final.jar;C:/Users/david/Desktop/Prism/libraries/io/netty/netty-handler/4.1.82.Final/netty-handler-4.1.82.Final.jar;C:/Users/david/Desktop/Prism/libraries/io/netty/netty-resolver/4.1.82.Final/netty-resolver-4.1.82.Final.jar;C:/Users/david/Desktop/Prism/libraries/io/netty/netty-transport-classes-epoll/4.1.82.Final/netty-transport-classes-epoll-4.1.82.Final.jar;C:/Users/david/Desktop/Prism/libraries/io/netty/netty-transport-native-unix-common/4.1.82.Final/netty-transport-native-unix-common-4.1.82.Final.jar;C:/Users/david/Desktop/Prism/libraries/io/netty/netty-transport/4.1.82.Final/netty-transport-4.1.82.Final.jar;C:/Users/david/Desktop/Prism/libraries/it/unimi/dsi/fastutil/8.5.9/fastutil-8.5.9.jar;C:/Users/david/Desktop/Prism/libraries/net/java/dev/jna/jna-platform/5.12.1/jna-platform-5.12.1.jar;C:/Users/david/Desktop/Prism/libraries/net/java/dev/jna/jna/5.12.1/jna-5.12.1.jar;C:/Users/david/Desktop/Prism/libraries/net/sf/jopt-simple/jopt-simple/5.0.4/jopt-simple-5.0.4.jar;C:/Users/david/Desktop/Prism/libraries/org/apache/commons/commons-compress/1.21/commons-compress-1.21.jar;C:/Users/david/Desktop/Prism/libraries/org/apache/commons/commons-lang3/3.12.0/commons-lang3-3.12.0.jar;C:/Users/david/Desktop/Prism/libraries/org/apache/httpcomponents/httpclient/4.5.13/httpclient-4.5.13.jar;C:/Users/david/Desktop/Prism/libraries/org/apache/httpcomponents/httpcore/4.4.15/httpcore-4.4.15.jar;C:/Users/david/Desktop/Prism/libraries/org/apache/logging/log4j/log4j-api/2.19.0/log4j-api-2.19.0.jar;C:/Users/david/Desktop/Prism/libraries/org/apache/logging/log4j/log4j-core/2.19.0/log4j-core-2.19.0.jar;C:/Users/david/Desktop/Prism/libraries/org/apache/logging/log4j/log4j-slf4j2-impl/2.19.0/log4j-slf4j2-impl-2.19.0.jar;C:/Users/david/Desktop/Prism/libraries/org/joml/joml/1.10.5/joml-1.10.5.jar;C:/Users/david/Desktop/Prism/libraries/org/slf4j/slf4j-api/2.0.1/slf4j-api-2.0.1.jar;C:/Users/david/Desktop/Prism/libraries/net/fabricmc/intermediary/1.19.3/intermediary-1.19.3.jar;C:/Users/david/Desktop/Prism/libraries/net/fabricmc/tiny-mappings-parser/0.3.0+build.17/tiny-mappings-parser-0.3.0+build.17.jar;C:/Users/david/Desktop/Prism/libraries/net/fabricmc/sponge-mixin/0.12.5+mixin.0.8.5/sponge-mixin-0.12.5+mixin.0.8.5.jar;C:/Users/david/Desktop/Prism/libraries/net/fabricmc/tiny-remapper/0.8.2/tiny-remapper-0.8.2.jar;C:/Users/david/Desktop/Prism/libraries/net/fabricmc/access-widener/2.1.0/access-widener-2.1.0.jar;C:/Users/david/Desktop/Prism/libraries/org/ow2/asm/asm/9.5/asm-9.5.jar;C:/Users/david/Desktop/Prism/libraries/org/ow2/asm/asm-analysis/9.5/asm-analysis-9.5.jar;C:/Users/david/Desktop/Prism/libraries/org/ow2/asm/asm-commons/9.5/asm-commons-9.5.jar;C:/Users/david/Desktop/Prism/libraries/org/ow2/asm/asm-tree/9.5/asm-tree-9.5.jar;C:/Users/david/Desktop/Prism/libraries/org/ow2/asm/asm-util/9.5/asm-util-9.5.jar;C:/Users/david/Desktop/Prism/libraries/net/fabricmc/fabric-loader/0.14.21/fabric-loader-0.14.21.jar;C:/Users/david/Desktop/Prism/libraries/com/mojang/minecraft/1.19.3/minecraft-1.19.3-client.jar org.prismlauncher.EntryPoint"
     1.054 D | Dir changed: "C:/Users/david/Desktop/Prism/translations"
     1.057 D | Loading Application Language File for es ...
     1.067 D | Task "ConcurrentTask(0x1649e2e60d8)" succeeded
     5.686 D | Component list save performed now for "1.19.3 Fabric"
    30.984 D | [HttpMetaCache] Saving metacache with 20 entries
